Snowball.Map,Name,Contact.Last.Name,Contact.First.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Price,Reviews,Category,Phone.Number,FullAddress,Street,City,State,Zip,Location.Sales.Volume.Description,Location.Employment.Size.Description,Small.Business.Entrepreneur.Indicator,Vendor.Ethnicity.Description,infoUSA.ID,Franchise.Specialty.Description1,True.Franchise.Indicator
73124,KC Restaurant,MAH,RUSSELL,MR,M,OWNER,$$,16,Chinese,(250) 352-5115,"['546 Baker Street', 'Nelson, BC V1L 4H9', 'Canada']",546 Baker St,Nelson,BC,V1L 4H9,"$500,000-1 MILLION",19-Oct,N,Chinese,20594933,,
73125,Red Light Ramen Bar,LANGEVIN,KORINA,MS,F,OWNER,$$,36,Japanese,(250) 352-0966,"['308 Herridge Lane', 'Nelson, BC V1L 6G5', 'Canada']",308 Herridge Lane,Nelson,BC,V1L 6G5,"LESS THAN $500,000",19-Oct,N,French,718967081,,
73126,Amanda's Restaurant,,,,,,null,5,Chinese,(250) 352-1633,"['655 Jorgeson Rd', 'Nelson, BC V1L 6M6', 'Canada']",655 Jorgeson Rd,Nelson,BC,V1L 6M6,,,,,NA,,
73127,Dragon River Chinese Restaurant,,,,,,$$,27,Chinese,(604) 371-2668,"['D116 - 20159 88th Avenue', 'Langley, BC V1M 0A4', 'Canada']",D116-20159 88 Ave,Langley,BC,V1M 0A4,,,,,NA,,
73128,Sushi 199 To Go,,,,,,$,17,Japanese,(604) 882-3199,"['20159 88 Avenue', 'Langley, BC V1M 0A4', 'Canada']",20159 88 Avenue,Langley,BC,V1M 0A4,,,,,NA,,
73129,Simon Sushi,CHANG,GRACE,MS,F,MANAGER,$$,20,Japanese,(604) 888-5055,"['20178 96th Avenue', 'Langley, BC V1M 0B2', 'Canada']",20178 96th Avenue,Langley,BC,V1M 0B2,"LESS THAN $500,000",9-May,N,Chinese,57953200,,
73130,Bubble World,MAH,DENNIS,MR,M,MANAGER,$,31,Chinese,(604) 882-1687,"['8850 Walnut Grove Drive', 'Suite 116', 'Langley, BC V1M 2C9', 'Canada']",8850 Walnut Grove Dr Suite 116,Langley,BC,V1M 2C9,"LESS THAN $500,000",9-May,N,Chinese,44230480,,
73131,Chan's Palace,,,,,,$$,20,Chinese,(604) 888-8825,"['20349  88th Avenue', 'Suite 7', 'Langley, BC V1M 2Y4', 'Canada']",20349 88 Ave Suite 7,Langley,BC,V1M 2K5,,,,,NA,,
73132,Mokran,,,,,,null,2,Chinese,(604) 888-8825,"['20349 88 Avenue', 'Unit 7', 'Langley, BC V1M 1E6', 'Canada']",20349 88 Ave Unit 7,Langley,BC,V1M 2K5,,,,,NA,,
73133,Akane Japanese Restaurant,MIN,YUNGI,MR,M,OWNER,$$,32,Japanese,(604) 882-1134,"['20349 88th Avenue', 'Langley, BC V1M 2K5', 'Canada']",20349 88th Avenue,Langley,BC,V1M 2K5,"LESS THAN $500,000",4-Jan,Y,Korean,31104565,,
73134,Sushi Gio,LEE,LEEAH,MS,F,MANAGER,$$,48,Japanese,(604) 371-2411,"['20177 88 Avenue E', 'Suite 1', 'Langley, BC V1M 2N9', 'Canada']",20177 88 Ave Suite 1,Langley,BC,V1M 2N9,"LESS THAN $500,000",9-May,N,English,437222419,,
73135,Tokyo Garden Japanese Restaurant,,,,,,$$,11,Japanese,(604) 888-3141,"['23343 Mavis Avenue', 'Langley, BC V1M 2R6', 'Canada']",23343 Mavis Avenue,Langley,BC,V1M 2R6,,,,,NA,,
73136,Sushi Hinode Japanese Restaurant,,,,,,$$,11,Japanese,(604) 888-3141,"['23343 Mavis Avenue', 'Langley, BC V1M 2R6', 'Canada']",23343 Mavis Avenue,Langley,BC,V1M 2R6,,,,,NA,,
73137,Sushi Ichi Japanese Restaurant,,,,,,$$,9,Japanese,(604) 881-0168,"['9145 Glover Road', 'Suite 204', 'Langley, BC V1M 2S3', 'Canada']","9145 Glover Road, Suite 204",Langley,BC,V1M 2S3,,,,,NA,,
73138,Japan Sushi,KIM,EUN S,MS,F,OWNER,$$,10,Japanese,(604) 882-7548,"['8840 210 Street', 'UNIT 403', 'Langley, BC V1M 2Y2', 'Canada']",8840 210 St Unit 403,Langley,BC,V1M 2Y2,"LESS THAN $500,000",9-May,Y,Korean,31104748,,
73139,Sushi I,,,,,,null,6,Japanese,(604) 455-0518,"['180 - 20330 88 Avenue', 'Langley, BC V1M 2Y4', 'Canada']",180-20330 88 Ave,Langley,BC,V1M 2Y4,,,,,NA,,
73140,Noh Ramen,,,,,,null,6,Japanese,(604) 371-0588,"['180 - 20330 88 Avenue', 'Langley, BC V1M 2Y4', 'Canada']",180-20330 88 Ave,Langley,BC,V1M 2Y4,,,,,NA,,
73141,Empire Garden Chinese Restaurant,CHAN,WINNIE,MS,F,MANAGER,$$,74,Chinese,(604) 882-1111,"['20378 - 88th Avenue', 'Unit 100', 'Langley, BC V4W 3N7', 'Canada']",20378 88 Ave Unit 100,Langley,BC,V1M 2Y4,"$500,000-1 MILLION",19-Oct,N,Chinese,56117765,,
73142,East Meets West,,,,,,null,4,Cajun Seafood,(604) 888-4270,"['8790 204 Street', 'Unit 2', 'Langley, BC V1M 2Y5', 'Canada']",8790 204 St Unit 2,Langley,BC,V1M 2Y5,,,,,NA,,
73143,Lin's Neighbourhood Chinese Kitchen,,,,,,null,7,Chinese,(604) 371-2778,"['19973 96 Avenue', 'Langley, BC V1M 3C6', 'Canada']",19973 96 Ave,Langley,BC,V1M 3C6,,,,,NA,,
73144,Dae Gill Sushi,,,,,,null,1,Japanese,(604) 881-2252,"['19973 96 Avenue', 'Langley, BC V1M 3A7', 'Canada']",19973 96 Ave,Langley,BC,V1M 3C6,,,,,NA,,
73145,Waka Sushi,LIM,ILSIK,MR,M,OWNER,$$,31,Japanese,(604) 888-4862,"['20090 91A Avenue', 'Langley, BC V1M 3Y9', 'Canada']",20090 91A Ave,Langley,BC,V1M 3Y9,"LESS THAN $500,000",9-May,Y,Korean,55688733,,
73146,Chopsticks,CHANG,LAI,MS,F,OWNER,$$,13,Chinese,(250) 365-5330,"['789 Columbia Avenue', 'Castlegar, BC V1N 1J7', 'Canada']",789 Columbia Ave,Castlegar,BC,V1N 1H1,"$500,000-1 MILLION",19-Oct,N,Chinese,25924069,,
73147,JackyÆs Chinese Restaurant,,,,,,null,1,Chinese,(250) 365-8888,"['932 Columbia Ave', 'Castlegar, BC V1N 1H2', 'Canada']",932 Columbia Ave,Castlegar,BC,V1N 1H2,"LESS THAN $500,000",9-May,N,Unknown,747412931,,
73148,Ace of Taste Chinese Restaurant,HE,JACK,MR,M,MANAGER,$$,11,Chinese,(250) 368-6448,"['1344 Bay Avenue', 'Trail, BC V1R 4A8', 'Canada']",1344 Bay Ave,Trail,BC,V1R 4A8,"LESS THAN $500,000",4-Jan,N,Chinese,45285640,,
73149,Sizzling Wok,CHOW,SUN,MS,F,OWNER,null,2,Chinese,(250) 571-1088,"['Aberdeen Mall', '1320 W Trans Canada Highway', 'Kamloops, BC V1S 1J2', 'Canada']","Aberdeen Mall, 1320 W Trans Canada Highway",Kamloops,BC,V1S 1J2,"LESS THAN $500,000",4-Jan,Y,Chinese,37122348,,
73150,Origami Japanese Restaurant,,,,,,null,1,Japanese,(250) 374-3283,"['1320 Trans Canada Hwy W', 'Kamloops, BC V1S 1J2', 'Canada']",1320 Trans Canada Hwy W,Kamloops,BC,V1S 1J2,,,,,NA,,
73151,Forklift,,,,,,null,3,Japanese,(250) 434-1076,"['20-1320 Trans-Canada Highway W', 'Fresh St Market, Aberdeen Mall', 'Kamloops, BC V1S 1J2', 'Canada']",20-1320 Trans Canada Hwy W Fresh St Market Aberdeen Mall,Kamloops,BC,V1S 1J2,,,,,NA,,
73152,Moon Wok Chinese Restaurant,KIM,JENNY,MS,F,MANAGER,null,3,Chinese,(778) 471-3889,"['1820 Rogers Place', 'Kamloops, BC V1S 1T7', 'Canada']",1820 Rogers Pl,Kamloops,BC,V1S 1T7,"$500,000-1 MILLION",19-Oct,N,Korean,715434026,,
73153,Tang Court Buffet,,,,,,$$,11,Chinese,(250) 371-2806,"['1835 Rogers Place', 'Kamloops, BC V1S 1T7', 'Canada']",1835 Rogers Pl,Kamloops,BC,V1S 1T7,,,,,NA,,
73154,New Golden Crown Restaurant,,,,,,null,13,Chinese,(236) 426-3389,"['3006 28th Avenue', 'Vernon, BC V1T 1W2', 'Canada']",3006 28 Ave,Vernon,BC,V1T 1W1,,,,,NA,,
73155,J-Don Japanese Donburi Cafe,SHIBATA,YOSHI,MS,F,OWNER,$$,9,Japanese,(250) 558-6939,"['2900 30 Ave', 'Vernon, BC V1T 2B7', 'Canada']",2900 30 Ave,Vernon,BC,V1T 2B7,"LESS THAN $500,000",4-Jan,Y,Japanese,31891450,,
73156,Mahoroba Japanese Restaurant,BANSHO,TAKESHI,MR,M,OWNER,$$,12,Japanese,(250) 558-0893,"['2921 30 Avenue', 'Vernon, BC V1T 2B8', 'Canada']",2921 30 Ave,Vernon,BC,V1T 2B8,"LESS THAN $500,000",9-May,Y,Japanese,38084760,,
73157,Jade Asian Kitchen,,,,,,null,2,Chinese,(236) 996-8828,"['3022 30th Avenue', 'Vernon, BC V1T 2B9', 'Canada']",3022 30 Ave,Vernon,BC,V1T 2B9,,,,,NA,,
73158,OHKIM Sushi & Grill,,,,,,null,1,Japanese,(778) 475-6222,"['3112 30th Avenue', 'Vernon, BC V1T 2C2', 'Canada']",3112 30 Ave,Vernon,BC,V1T 2C2,,,,,NA,,
73159,Sushi 1 Japanese,HUH,HOOS,MR,M,OWNER,null,10,Japanese,(250) 275-6216,"['3112-30 avenue', 'Vernon, BC V1T 2C4', 'Canada']",3112-30 Avenue,Vernon,BC,V1T 2C4,"LESS THAN $500,000",9-May,Y,Korean,56046725,,
73160,Raku Rice & Noodle Bar,,,,,,$$,11,Japanese,(236) 426-1212,"['3318 30th Avenue', 'Vernon, BC V1T 2C3', 'Canada']",3318 30 Ave,Vernon,BC,V1T 2C8,,,,,NA,,
73161,Rich Tea,,,,,,null,1,Japanese,(778) 943-1631,"['3334 30th Avenue', 'Unit 110', 'Vernon, BC V1T 2C8', 'Canada']",3334 30 Ave Unit 110,Vernon,BC,V1T 2C8,,,,,NA,,
73162,Bamboo Beach Fusion Grille,THOMPSON,AMANDA,MS,F,OWNER,$$,32,Japanese,(250) 542-7701,"['3313 30 Avenue', 'Vernon, BC V1T 2E3', 'Canada']",3313 30 Ave,Vernon,BC,V1T 2C9,"LESS THAN $500,000",4-Jan,Y,Scottish (Scotch),36258705,,
73163,Kawakubo,,,,,,$$,14,Japanese,(778) 475-7887,"['3315 30th Avenue', 'Vernon, BC V1T 2C9', 'Canada']",3315 30 Ave,Vernon,BC,V1T 2C9,,,,,NA,,
73164,Kiki Gardens,,,,,,$$,16,Chinese,(250) 545-2757,"['3411 - 30th Avenue', 'Vernon, BC V1T 2E3', 'Canada']",3411 30 Ave,Vernon,BC,V1T 2E3,,,,,NA,,
73165,The Rice Box,CRODA,BELETE,MR,M,OWNER,$$$,12,Chinese,(250) 545-9929,"['3104 27 Street', 'Unit C', 'Vernon, BC V1T 4W6', 'Canada']",3104 27 St Unit C,Vernon,BC,V1T 4W6,"LESS THAN $500,000",9-May,Y,Ethiopian,36254985,,
73166,Sushi Kawa,,,,,,$$,21,Japanese,(250) 260-3558,"['3107 32 Street', 'Vernon, BC V1T 5M6', 'Canada']",3107 32 St,Vernon,BC,V1T 5M6,,,,,NA,,
73167,Asian Avenue Restaurant,LU,JOHN,MR,M,OWNER,$$,19,Cajun Seafood,(250) 549-4858,"['4101 32 St', 'Vernon, BC V1T 5P3', 'Canada']",4101 32 St,Vernon,BC,V1T 5P3,"$500,000-1 MILLION",19-Oct,N,Chinese,63162044,,
73168,Sakura Sushi & Japanese Grocery,,,,,,$,6,Japanese,(778) 475-6191,"['1800 Kalamalka Lake Road', 'Suite 2', 'Vernon, BC V1T 6V3', 'Canada']",1800 Kalamalka Lake Rd Suite 2,Vernon,BC,V1T 6V3,"LESS THAN $500,000",9-May,N,Unknown,727725283,,
73169,Sizzling Wok,STAR,LOUIS,MR,M,MANAGER,null,1,Chinese,(250) 549-5262,"['4900-27 Street', 'Unit 29', 'Vernon, BC V1T 7G7', 'Canada']",4900 27 St Unit 29,Vernon,BC,V1T 7G7,"LESS THAN $500,000",9-May,N,English,56046709,,
73170,Teriyaki Express,,,,,,null,3,Japanese,(604) 889-6872,"['4900 27th Street', 'Vernon, BC V1T 7G7', 'Canada']",4900 27th Street,Vernon,BC,V1T 7G7,,,,,NA,,
73171,Wasabi Japanese Restaurant,,,,,,$$,22,Japanese,(778) 475-6060,"['5100 Anderson Way', 'Suite 114', 'Vernon, BC V1T 9V2', 'Canada']",5100 Anderson Way Suite 114,Vernon,BC,V1T 9V2,,,,,NA,,
73172,Royal Garden,,,,,,$$,11,Chinese,(250) 545-7866,"['5280 Anderson Way', 'Vernon, BC V1T 9V2', 'Canada']",5280 Anderson Way,Vernon,BC,V1T 9V2,,,,,NA,,
73173,Wok Out Restaurant,,,,,,null,16,Chinese,(250) 763-3888,"['437 Glenmore Rd', 'Kelowna, BC V1V 1Z6', 'Canada']",437 Glenmore Rd,Kelowna,BC,V1V 1Z6,,,,,NA,,
73174,Basil Leaf,,,,,,$$,20,Chinese,(778) 484-6688,"['1940 Kane Road', 'Suite 123', 'Kelowna, BC V1Y 2J9', 'Canada']",1940 Kane Rd Suite 123,Kelowna,BC,V1V 2J9,"LESS THAN $500,000",9-May,N,Unknown,718318671,,
73175,Dozo Japanese Restaurant,,,,,,$$,17,Japanese,(778) 484-3883,"['200-1970 Kane Road', 'Kelowna, BC V1V 2E5', 'Canada']",200-1970 Kane Rd,Kelowna,BC,V1V 3C4,,,,,NA,,
73176,Golden Island Asian Cuisine,,,,,,null,3,Cajun Seafood,(778) 753-6628,"['975 Academy Way', 'Suite 121', 'Kelowna, BC V1V 3A4', 'Canada']",975 Academy Way Suite 121,Kelowna,BC,V1V 3C8,,,,,NA,,
73177,KAYA Sushi + Grill,,,,,,null,24,Japanese,(778) 753-7090,"['1730 Pier Mac Way', 'Unit 101', 'Kelowna, BC V1V 3E7', 'Canada']",1730 Pier Mac Way Unit 101,Kelowna,BC,V1V 3E7,,9-May,N,Unknown,782030363,,
73178,T-ONE Restaurant,YEN,ARIA,MS,F,MANAGER,null,3,Japanese,(778) 940-6675,"['3477 Lakeshore Road', 'Unit 100', 'Kelowna, BC V1W 3S9', 'Canada']",3477 Lakeshore Rd Unit 100,Kelowna,BC,V1W 0A7,"$500,000-1 MILLION",19-Oct,N,Chinese,750493775,,
73179,Nari Sushi,KANG,SOOSEOK,MR,M,OWNER,null,6,Japanese,(250) 764-0110,"['3957 Lakeshore Road', 'Kelowna, BC V1W 1V3', 'Canada']",3957 Lakeshore Road,Kelowna,BC,V1W 1V3,"LESS THAN $500,000",9-May,Y,Chinese,48431191,,
73180,Chan Fortune Restaurant,,,,,,null,11,Chinese,(778) 477-3988,"['3968 Lakeshore Road', 'Kelowna, BC V1W 1V5', 'Canada']",3968 Lakeshore Road,Kelowna,BC,V1W 1V5,"LESS THAN $500,000",,N,Unknown,763210428,,
73181,Little Tokyo Ramen,,,,,,null,7,Japanese,(250) 300-4591,"['102 - 4629 Lakeshore Road', 'Kelowna, BC V1W 1X3', 'Canada']",102-4629 Lakeshore Road,Kelowna,BC,V1W 1X3,,,,,NA,,
73182,J Wok Express,,,,,,$$,6,Chinese,(778) 484-1688,"['1-3818 Gordon Drive', 'Kelowna, BC V1W 3Y3', 'Canada']",1-3818 Gordon Dr,Kelowna,BC,V1W 3G8,"LESS THAN $500,000",,N,Unknown,763210474,,
73183,Seki Noodlehouse,,,,,,$$,14,Japanese,(778) 478-6838,"['3327 Lakeshore Road', 'Unit 102', 'Kelowna, BC V1W 3S9', 'Canada']",3327 Lakeshore Rd Unit 102,Kelowna,BC,V1W 3S9,,,,,NA,,
73184,The Chinese Laundry Restaurant,,,,,,null,1,Chinese,(250) 765-8381,"['340 Highway 33 W', 'Kelowna, BC V1X 1X9', 'Canada']",340 Highway 33 W,Kelowna,BC,V1X 1X9,"LESS THAN $500,000",9-May,N,Unknown,56930134,,
73185,Wok Inn Restaurant,,,,,,$$,12,Chinese,(250) 765-8829,"['183 Highway 33 East', 'Kelowna, BC V1X 2A1', 'Canada']",183 Highway 33 E,Kelowna,BC,V1X 2A1,"LESS THAN $500,000",4-Jan,N,Unknown,62077623,,
73186,Tang Dynasty,,,,,,null,10,Chinese,(778) 753-6801,"['948 McCurdy Road', 'Unit 118', 'Kelowna, BC V1X 2P7', 'Canada']",948 McCurdy Rd Unit 118,Kelowna,BC,V1X 2P7,,,,,NA,,
73187,Atami Japanese Restaurant,,,,,,null,3,Chinese,(778) 753-6801,"['118-948 McCurdy Road', 'Kelowna, BC V1X 2P7', 'Canada']",118-948 McCurdy Rd,Kelowna,BC,V1X 2P7,,,,,NA,,
73188,Cedars Family Restaurant,,,,,,$$,4,Chinese,(250) 765-0085,"['130 Rutland Road S', 'Kelowna, BC V1X 2Z4', 'Canada']",130 Rutland Rd S,Kelowna,BC,V1X 2Z4,,,,,NA,,
73189,Imperial Banquet Restaurant,JIANG,JESSICA,MS,F,OWNER,$,15,Chinese,(250) 765-1129,"['233 Rutland Road N', 'Kelowna, BC V1X 3B1', 'Canada']",233 Rutland Rd N,Kelowna,BC,V1X 3B1,"LESS THAN $500,000",4-Jan,Y,Chinese,24920092,,
73190,88 Grand Buffet,,,,,,$$,80,Chinese,(250) 762-8088,"['325-2339 Hwy 97 N', 'Kelowna, BC V1X 4H9', 'Canada']",325-2339 Highway 97 N,Kelowna,BC,V1X 4H9,"LESS THAN $500,000",9-May,N,Unknown,707143151,,
73191,Dragon King Restaurant,,,,,,null,7,Chinese,(250) 861-1305,"['2435 Highway 97 N', 'Kelowna, BC V1X 6G3', 'Canada']",2435 Highway 97 N,Kelowna,BC,V1X 4J2,,,,,NA,,
73192,Yamato Asian Restaurant,,,,,,$$,37,Chinese,(250) 762-2618,"['1- 2575 Highway 97 N', 'Kelowna, BC V1X 4J5', 'Canada']",1-2575 Highway 97 N,Kelowna,BC,V1X 4J5,,,,,NA,,
73193,Hong Kong Garden Restaurant,,,,,,null,3,Chinese,(250) 765-8885,"['3 1007 Rutland Road North', 'Kelowna, BC V1X 4Y9', 'Canada']",3-1007 Rutland Rd N,Kelowna,BC,V1X 4Y9,"LESS THAN $500,000",9-May,N,Unknown,61051348,,
73194,New Empress Chinese Restaurant,YU,WAN,MS,F,OWNER,$$,11,Chinese,(250) 860-3883,"['21-590 Highway 33 W', 'Kelowna, BC V1X 6A8', 'Canada']",21-590 Highway 33 W,Kelowna,BC,V1X 6A8,"LESS THAN $500,000",9-May,Y,Chinese,19974039,,
73195,Wok Box,,,,,,null,4,Chinese,(778) 484-4269,"['2300 Baron Road', 'Unit 1', 'Kelowna, BC V1X 7W3', 'Canada']",2300 Baron Rd Unit 1,Kelowna,BC,V1X 7W3,"LESS THAN $500,000",9-May,N,Unknown,439809761,,Y
73196,Sushi Zen,,,,,,null,8,Japanese,(778) 484-3137,"['590 Highway 33 W', 'Kelowna, BC V1X 7W4', 'Canada']",590 Highway 33 W,Kelowna,BC,V1X 7W4,,,,,NA,,
73197,Taki Japanese Grill,TRAN,XUAN,MS,F,OWNER,$$,13,Japanese,(250) 765-8828,"['115 Roxby Road', 'Kelowna, BC V1X 8A4', 'Canada']",115 Roxby Road,Kelowna,BC,V1X 8A4,"$500,000-1 MILLION",19-Oct,N,Vietnamese,49458870,,
73198,Bluetail,,,,,,$$,83,Japanese,(778) 484-5900,"['102-1675 Commerce Avenue', 'Kelowna, BC V1X 8A9', 'Canada']",102-1675 Commerce Ave,Kelowna,BC,V1X 8A9,,,,,NA,,
73199,Tokyo 1 Asian Buffet Bar,,,,,,null,39,Japanese,(250) 980-7999,"['2125 Enterprise Way', 'Kelowna, BC V1Y 0A8', 'Canada']",2125 Enterprise Way,Kelowna,BC,V1Y 0A8,,,,,NA,,
73200,Wasabi Izakaya,,,,,,$$,80,Japanese,(250) 762-7788,"['1623 Pandosy Street', 'Kelowna, BC V1Y 1P6', 'Canada']",1623 Pandosy St,Kelowna,BC,V1Y 1P6,,,,,NA,,
73201,Mizu Japanese Restaurant,CHUNG,KEN,MR,M,OWNER,$$,14,Japanese,(250) 862-8022,"['2684 Pandosy Street', 'Kelowna, BC V1Y 1V6', 'Canada']",2684 Pandosy St,Kelowna,BC,V1Y 1V6,"LESS THAN $500,000",9-May,Y,Chinese,31908213,,
73202,Soy Asian Fusion Restaurant,ISHIZAKA,COMO,MS,F,OWNER,$$,19,Japanese,(778) 478-0458,"['2900 Pandosy Street', 'Suite 101', 'Kelowna, BC V1Y 1V9', 'Canada']",2900 Pandosy St Suite 101,Kelowna,BC,V1Y 1V9,"LESS THAN $500,000",9-May,Y,Japanese,727725280,,
73203,Momo Sushi,,,,,,$$,17,Japanese,(778) 484-1555,"['3013 Pandosy Street', 'Kelowna, BC V1Y 1W3', 'Canada']",3013 Pandosy St,Kelowna,BC,V1Y 1W3,"LESS THAN $500,000",9-May,N,Unknown,727725373,,
73204,Nagano Sushi Restaurant,,,,,,null,5,Japanese,(250) 763-5252,"['1298 Ellis Street', 'Kelowna, BC V1Y 1Z4', 'Canada']",1298 Ellis St,Kelowna,BC,V1Y 1Z4,,,,,NA,,
73205,Tokyo Sushi,,,,,,$$,5,Japanese,(250) 868-8550,"['1607 Ellis St', 'Kelowna, BC V1Y 2A8', 'Canada']",1607 Ellis St,Kelowna,BC,V1Y 2A8,,,,,NA,,
73206,Joon's Kitchen,LEE,JOON,MR,M,OWNER,$$,9,Japanese,(250) 860-0131,"['3018 Tutt Street', 'Kelowna, BC V1Y 2H5', 'Canada']",3018 Tutt St,Kelowna,BC,V1Y 2H5,"LESS THAN $500,000",4-Jan,Y,Korean,49816150,,
73207,YAMA Kitchen,,,,,,$$,11,Japanese,(250) 762-6266,"['991 Richter Street', 'Suite 1', 'Kelowna, BC V1Y 2K4', 'Canada']",991 Richter St Suite 1,Kelowna,BC,V1Y 2K4,,,,,NA,,
73208,Mi Ne Sushi House,,,,,,$$,11,Japanese,(778) 478-3268,"['1835 Gordon Drive', 'Unit 134', 'Kelowna, BC V1Y 3H4', 'Canada']",1835 Gordon Dr Unit 134,Kelowna,BC,V1Y 3H4,,,,,NA,,
73209,Yum Yum Tree,HSIEH,SANDY,MS,F,OWNER,null,5,Chinese,(250) 860-7378,"['153-1835 Gordon Drive', 'Kelowna, BC V1Y 3H4', 'Canada']",153-1835 Gordon Dr,Kelowna,BC,V1Y 3H4,"LESS THAN $500,000",9-May,Y,Chinese,21344189,,
73210,Makoto,,,,,,$$,3,Japanese,(778) 478-0636,"['101-1014 Glenmore Drive', 'Kelowna, BC V1Y 4P2', 'Canada']",101-1014 Glenmore Dr,Kelowna,BC,V1Y 4P2,,,,,NA,,
73211,O-Machi,,,,,,$$,3,Chinese,(250) 762-8098,"['101-1014 Glenmore Drive', 'Kelowna, BC V1Y 4P2', 'Canada']",101-1014 Glenmore Dr,Kelowna,BC,V1Y 4P2,,,,,NA,,
73212,Ozeki Japanese Restaurant,UECHI,YASU,MS,F,OWNER,$$,38,Japanese,(250) 862-8860,"['1-1745 Spall Road', 'Kelowna, BC V1Y 4P7', 'Canada']",1-1745 Spall Rd,Kelowna,BC,V1Y 4P7,"$500,000-1 MILLION",19-Oct,N,Japanese,26948158,,
73213,Genjie Japanese Restaurant,,,,,,null,5,Japanese,(250) 869-0852,"['1873 Spall Road', 'Kelowna, BC V1Y 4R2', 'Canada']",1873 Spall Rd,Kelowna,BC,V1Y 4R2,,,,,NA,,
73214,Bluetail,,,,,,null,6,Japanese,(236) 420-2290,"['102-1873 Spall Road', 'Kelowna, BC V1Y 4R2', 'Canada']",102-1873 Spall Rd,Kelowna,BC,V1Y 4R2,,,,,NA,,
73215,Maki Sushi,RAI,DURGA,MS,F,OWNER,$$,11,Japanese,(250) 868-9200,"['12-515 Harvey Avenue', 'Kelowna, BC V1Y 6C7', 'Canada']",12-515 Harvey Ave,Kelowna,BC,V1Y 6C7,"LESS THAN $500,000",4-Jan,Y,Indian,56828551,,
73216,Kasai Teppanyaki Steak & Sushi House,,,,,,null,9,Japanese,(250) 899-9900,"['8 - 1717 Harvey Avenue', 'Kelowna, BC V1Y 6G3', 'Canada']",8-1717 Harvey Ave,Kelowna,BC,V1Y 6G3,"LESS THAN $500,000",9-May,N,Unknown,763211287,,
73217,Koya Japan,,,,,,null,1,Japanese,(250) 763-5692,"['2271 Harvey Avenue', 'Kelowna, BC V1Y 6H2', 'Canada']",2271 Harvey Avenue,Kelowna,BC,V1Y 6H2,,,,,NA,,
73218,Pacific Poke,,,,,,null,4,Japanese,(250) 763-6079,"['219 Bernard Avenue', 'Kelowna, BC V1Y 6N2', 'Canada']",219 Bernard Ave,Kelowna,BC,V1Y 6N2,,,,,NA,,
73219,Asuka Japanese Restaurant,,,,,,null,1,Japanese,(250) 448-5475,"['227 Bernard Avenue', 'Kelowna, BC V1Y 6N2', 'Canada']",227 Bernard Ave,Kelowna,BC,V1Y 6N2,,,,,NA,,
73220,Ginza Japanese Restaurant,,,,,,null,3,Japanese,(250) 868-3113,"['269 Bernard Avenue', 'Kelowna, BC V1Y 6N2', 'Canada']",269 Bernard Avenue,Kelowna,BC,V1Y 6N2,,,,,NA,,
73221,Sushi Hama,,,,,,null,3,Japanese,(250) 470-4030,"['280 Bernard Avenue', 'Kelowna, BC V1Y 1J5', 'Canada']",280 Bernard Ave,Kelowna,BC,V1Y 6N4,,,,,NA,,
73222,Zen Sushi and Korean Cuisine,,,,,,null,3,Japanese,(250) 470-4030,"['280 Bernard Avenue', 'Kelowna, BC V1Y 6N4', 'Canada']",280 Bernard Ave,Kelowna,BC,V1Y 6N4,,,,,NA,,
73223,Momo Sushi,LEE,MIYEON,MS,F,OWNER,$$,68,Japanese,(250) 763-1030,"['377 Bernard Avenue', 'Kelowna, BC V1Y 6N6', 'Canada']",377 Bernard Ave,Kelowna,BC,V1Y 6N6,"LESS THAN $500,000",9-May,Y,English,42946921,,
73224,Asian Food Restaurant,,,,,,$$,2,Cajun Seafood,(250) 862-2031,"['467 Bernard Avenue', 'Kelowna, BC V1Y 6N6', 'Canada']",467 Bernard Ave,Kelowna,BC,V1Y 6N8,,,,,NA,,
73225,Mad Mango Cafe,WONG,KAI,MR,M,OWNER,$,75,Cajun Seafood,(250) 762-8988,"['551 Bernard Avenue', 'Kelowna, BC V1Y 6N9', 'Canada']",551 Bernard Ave,Kelowna,BC,V1Y 6N9,"LESS THAN $500,000",4-Jan,Y,Chinese,20573788,,
73226,Kimbap & Sushi,,,,,,null,1,Japanese,(778) 478-0843,"['2189 Springfield Road', 'Unit 118', 'Kelowna, BC V1Y 7X1', 'Canada']",2189 Springfield Rd Unit 118,Kelowna,BC,V1Y 7X1,,,,,NA,,
73227,Oh Sushi,,,,,,$$,7,Japanese,(250) 860-6012,"['605 K.L.O. Road', 'Kelowna, BC V1Y 8E7', 'Canada']",605 K.L.O. Road,Kelowna,BC,V1Y 8E7,,,,,NA,,
73228,Freshbox Wok & Sushi,,,,,,$$,2,Japanese,(250) 763-0586,"['605 K. L. O. Road', 'Kelowna, BC V1Y 8E7', 'Canada']",605 K. L. O. Road,Kelowna,BC,V1Y 8E7,,,,,NA,,
73229,Gaon Sushi,,,,,,null,1,Japanese,(250) 762-6100,"['3B- 605 K L O Road', 'Kelowna, BC V1Y 8E7', 'Canada']",3B-605 K.L.O. Rd,Kelowna,BC,V1Y 8E7,,,,,NA,,
